Design Option,Life Cycle Stage,Impact Category,Mean,STD,COV,Min,Max,95th Percentile,Median,Unit,Outliers
base_design,A1,gwp_total,3001554.0336743756,318779.7177125832,0.10620489057874681,2178271.8633556357,4202383.661200937,3556655.6339616487,2972519.347778945,kgCO2eq/FU,6
base_design,A1,gwp_fossil,3009127.8029001895,317897.8914830842,0.10564452967956198,2184099.465764182,4409095.733966842,3583755.499625846,2974689.7198008206,kgCO2eq/FU,13
base_design,A1,gwp_biogenic,-18424.325624099998,4003.4081789005763,0.21728926532127207,-32183.221579366113,-5901.040478524839,-11930.864142570035,-18388.020989141416,kgCO2eq/FU,4
base_design,A1,gwp_luluc,1433.1506082773744,138.13790272599286,0.0963875687092179,1090.1093582128337,1956.4852213766958,1668.192710016797,1424.9983999552815,kgCO2eq/FU,14
base_design,A2,gwp_total,171074.3208727481,25191.68430255406,0.14725579019713098,101312.98469519439,277725.5228112666,214881.65361267523,170054.7087282713,kgCO2eq/FU,13
base_design,A2,gwp_fossil,172001.94226482738,25318.91729935759,0.14720134532187226,107192.6010131237,261273.2688362434,217431.0887057983,170059.51190169493,kgCO2eq/FU,8
base_design,A2,gwp_biogenic,19.9546325122023,2.9086361836667285,0.14576245299872556,12.506025617096421,30.378621902905063,24.995136289059428,19.79123744581294,kgCO2eq/FU,12
base_design,A2,gwp_luluc,14.736213199363917,2.1395040622062034,0.14518682875045227,8.938894155553886,22.740980652780237,18.464874014981376,14.64893787286184,kgCO2eq/FU,10
base_design,A3,gwp_total,876448.9626008712,86974.81511363627,0.0992354590226653,648770.943493379,1214772.675130869,1032806.7593580688,872353.959279597,kgCO2eq/FU,12
base_design,A3,gwp_fossil,858534.3924066791,89192.57201231213,0.10388934071969304,628097.7108474879,1194111.5922170368,1014624.5801398495,851286.7694408211,kgCO2eq/FU,16
base_design,A3,gwp_biogenic,15323.46601781995,1534.5614246992723,0.10014453798603408,11478.203224012423,20860.94563130911,17965.799370879104,15224.839619210707,kgCO2eq/FU,8
base_design,A3,gwp_luluc,333.1667986648568,29.75283600228668,0.08930312420541045,253.92186556977785,426.56467363385883,386.18588318680884,331.54109450091744,kgCO2eq/FU,5
base_design,A4,gwp_total,200662.5604738924,29548.72390556261,0.14725579019713098,118835.61959782404,325759.6711882475,252046.61104489703,199466.60083157313,kgCO2eq/FU,13
base_design,A4,gwp_fossil,201750.6190599817,29697.96254514987,0.14720134532187226,125732.14772046011,306461.9098915617,255036.9848832278,199472.23474011454,kgCO2eq/FU,8
base_design,A4,gwp_biogenic,23.405895360488017,3.411700722376223,0.14576245299872556,14.669011157702142,35.6327707373425,29.318181837982358,23.21424022356727,kgCO2eq/FU,12
base_design,A4,gwp_luluc,17.284921881835633,2.5095429932230147,0.14518682875045225,10.484924797058127,26.674157653786438,21.658474981935406,17.182551810203847,kgCO2eq/FU,10
base_design,A5,gwp_total,2275.0115833868003,335.0086284192495,0.147255790197131,1347.2987211242726,3693.2999539291814,2857.578206549062,2261.452392110092,kgCO2eq/FU,13
base_design,A5,gwp_fossil,2287.3474465438876,336.7006213498095,0.14720134532187226,1425.4881019788595,3474.5116040760176,2891.481567020456,2261.516266542678,kgCO2eq/FU,8
base_design,A5,gwp_biogenic,0.26536431578913117,0.0386801536077522,0.14576245299872556,0.16630989967331025,0.4039865034323009,0.33239485795322743,0.26319142586148064,kgCO2eq/FU,12
base_design,A5,gwp_luluc,0.1959677849532289,0.028451941234609892,0.14518682875045222,0.1188728246460815,0.3024182363473093,0.2455529389539863,0.1948071643660878,kgCO2eq/FU,10
alternative_design1,A1,gwp_total,2174630.2710586386,275914.9288390816,0.1268790067493922,1516855.9212448997,3508385.6352446806,2640768.334372285,2152044.69054431,kgCO2eq/FU,19
alternative_design1,A1,gwp_fossil,2197810.6127538662,281140.90494766977,0.127918621975985,1423056.6420263033,3320522.987482534,2678339.5121822804,2180032.804302579,kgCO2eq/FU,12
alternative_design1,A1,gwp_biogenic,-22863.727569633,3385.40558540599,0.14806883851705777,-34390.61408436248,-12954.251648527255,-17106.112176133687,-22950.740275255666,kgCO2eq/FU,7
alternative_design1,A1,gwp_luluc,1105.505849162084,114.29093171911597,0.10338338038260274,706.8930663983533,1545.1231371051376,1298.4761080657486,1100.1296522671298,kgCO2eq/FU,10
alternative_design1,A2,gwp_total,110346.52578723262,16295.562470608686,0.1476762621600736,67606.86697399543,174881.636437668,139457.7099192834,109167.80424098566,kgCO2eq/FU,8
alternative_design1,A2,gwp_fossil,111769.92555979289,17011.89469553045,0.15220458106532153,72505.51922550867,178216.4846329607,141181.2188528213,110829.06021092208,kgCO2eq/FU,11
alternative_design1,A2,gwp_biogenic,13.03587610170422,1.9398627134091848,0.14880953901944347,8.126368697127894,21.693443527842952,16.369218205066563,12.912672455100221,kgCO2eq/FU,10
alternative_design1,A2,gwp_luluc,9.503513144915992,1.4295124587817072,0.15041936986707283,5.821564442170082,17.11136797792941,12.02516159776667,9.40444646924319,kgCO2eq/FU,14
alternative_design1,A3,gwp_total,635891.5886289794,74878.55348877996,0.1177536467343791,433576.0610585301,979732.8410844784,760599.0743859282,634042.6322556844,kgCO2eq/FU,5
alternative_design1,A3,gwp_fossil,642056.9306357753,77961.64784487638,0.12142482095423762,462991.436269379,940310.6680606671,780744.0395443754,635349.3726564902,kgCO2eq/FU,7
alternative_design1,A3,gwp_biogenic,238.80279258413998,28.939592052908456,0.12118615423105597,149.68409301362686,387.282582123148,287.01340895455877,235.82763307651993,kgCO2eq/FU,11
