Design Option,Life Cycle Stage,Impact Category,Mean,STD,COV,Min,Max,95th Percentile,Median,Unit,Outliers
base_design,A1,gwp_total,1327353.952678565,71868.65036342369,0.054144299806690346,1129550.8005123106,1632746.70692953,1446240.9451176557,1327084.7605288625,kgCO2eq/FU,11
base_design,A1,gwp_fossil,1317338.539371551,73859.97057886935,0.056067569854978176,1128037.1447890457,1532324.8143084692,1444085.9357840843,1314187.0764596714,kgCO2eq/FU,10
base_design,A1,gwp_biogenic,3858.5932686915035,425.55275833594345,0.11028702138389768,2669.904170921311,5498.7516752975525,4609.835833138865,3862.108535499042,kgCO2eq/FU,8
base_design,A1,gwp_luluc,2516.548227672609,170.61133444116442,0.06779577381632447,2084.038995329508,3186.376085459947,2822.793429806808,2504.053635592628,kgCO2eq/FU,3
base_design,A2,gwp_total,171384.42352831783,25413.513077902404,0.14828368036435546,111284.29417006875,270188.3835705672,213926.1276080118,170070.05014597278,kgCO2eq/FU,7
base_design,A2,gwp_fossil,171959.08070846656,25361.81193490626,0.14748748266399375,98549.64596533011,260260.5788053793,215348.00031978867,169990.5668150334,kgCO2eq/FU,10
base_design,A2,gwp_biogenic,19.87920402826619,2.9365240353054913,0.14771839109503856,12.384815017329064,30.79987286856136,25.28280497548762,19.563776401251854,kgCO2eq/FU,12
base_design,A2,gwp_luluc,14.487704952219785,2.0865703971870024,0.14402352919723846,9.506725911515163,21.194977868709138,18.156991986119372,14.369533100510765,kgCO2eq/FU,7
base_design,A3,gwp_total,727088.2733551486,62044.74880436765,0.08533317215812349,556300.199887687,974425.608738845,830863.2784744214,724944.789436278,kgCO2eq/FU,15
base_design,A3,gwp_fossil,722255.4295131766,61690.783250806126,0.08541408029620172,550272.7470318265,928748.649529744,831967.044821016,717096.4259387804,kgCO2eq/FU,15
base_design,A3,gwp_biogenic,2272.1209529592234,141.42796456875948,0.062244910150827525,1820.2674781102755,2749.4492890609017,2501.9596295243277,2270.881187788535,kgCO2eq/FU,12
base_design,A3,gwp_luluc,54.03897550126197,3.5352659707862513,0.06542066976646684,44.44684497022425,65.0521393994591,59.94309110444045,53.85161405617341,kgCO2eq/FU,7
base_design,A4,gwp_total,201026.29708005823,29808.91918104932,0.1482836803643555,130531.52159116993,316918.9424864104,250925.8215908341,199484.59563138627,kgCO2eq/FU,7
base_design,A4,gwp_fossil,201700.3443629881,29748.27604255778,0.14748748266399375,115594.34631868768,305274.06958026957,252593.61496600308,199391.36522357335,kgCO2eq/FU,10
base_design,A4,gwp_biogenic,23.317421107648276,3.444411930507295,0.14771839109503854,14.526836521662016,36.12687936182489,29.655604397325913,22.947438547097985,kgCO2eq/FU,12
base_design,A4,gwp_luluc,16.993432773964713,2.447454161282416,0.14402352919723846,11.150966161351082,24.860765231306917,21.297343072013625,16.854822454082097,kgCO2eq/FU,7
base_design,A5,gwp_total,2279.1354468039463,337.9585921009488,0.14828368036435544,1479.9009985505118,3593.0682009067923,2844.8712572082923,2261.656408135399,kgCO2eq/FU,7
base_design,A5,gwp_fossil,2286.777457215825,337.2710505775308,0.14748748266399378,1310.5507884877961,3461.0444657068997,2863.779862970346,2260.599408477877,kgCO2eq/FU,10
base_design,A5,gwp_biogenic,0.2643612390339729,0.03905101689798938,0.14771839109503854,0.16469799487606646,0.40958845947977696,0.3362203858902263,0.26016656211509376,kgCO2eq/FU,12
base_design,A5,gwp_luluc,0.1926630274774381,0.02774800916312516,0.14402352919723846,0.12642406796323416,0.2818589015285775,0.2414586062779635,0.1910915331111488,kgCO2eq/FU,7
alternative_design1,A1,gwp_total,830203.6670871022,57426.8292449868,0.06917197733717283,677186.9647857423,1022888.2532846734,927381.6131493574,827942.6024130704,kgCO2eq/FU,7
alternative_design1,A1,gwp_fossil,824735.2395821725,57272.46795309429,0.06944345919074547,643851.57566274,1009047.4576491398,920836.5513944273,824105.7893824978,kgCO2eq/FU,14
alternative_design1,A1,gwp_biogenic,3331.635265220375,390.97464197947335,0.11735217418933518,2374.196084645773,4945.661892520797,4011.369843459706,3316.5559834863543,kgCO2eq/FU,8
alternative_design1,A1,gwp_luluc,1593.4734303806447,104.72473510908586,0.06572104254293684,1294.4312697004993,1952.9545161126418,1772.6522782743282,1590.5094473199956,kgCO2eq/FU,16
alternative_design1,A2,gwp_total,111506.52615880668,16695.202228051185,0.14972399197759972,69954.04011072332,180311.99914009508,138598.92846490338,110388.88795935495,kgCO2eq/FU,10
alternative_design1,A2,gwp_fossil,110738.78392653256,16540.841978181314,0.1493681020477433,69345.19869297133,172633.305891507,139567.11269855435,109691.44296792385,kgCO2eq/FU,9
alternative_design1,A2,gwp_biogenic,12.873357273787951,1.949125878174721,0.15140773589368392,7.511331309709325,20.509112023154202,16.255722666229534,12.71809486454078,kgCO2eq/FU,11
alternative_design1,A2,gwp_luluc,9.497133205592675,1.453996958132544,0.15309851158835108,5.454326920152426,14.833367382744576,12.131379470335995,9.404883875427132,kgCO2eq/FU,13
alternative_design1,A3,gwp_total,542380.1056671803,53171.68169743785,0.0980339823342737,407905.06273765117,724098.046082846,630172.9734556706,539250.8678865712,kgCO2eq/FU,7
alternative_design1,A3,gwp_fossil,540924.5335595412,51843.08840844472,0.09584162890023214,348575.520674755,717946.1106859947,627563.8429333452,537531.4449089873,kgCO2eq/FU,6
alternative_design1,A3,gwp_biogenic,870.7064982083695,88.80739273519072,0.1019946364451482,628.2011853285442,1225.5987584477025,1021.0979586524534,868.1090468670861,kgCO2eq/FU,8
